frequency,horizon_label,model,MAE,RMSE,sMAPE,WAPE,n
daily,1 month,Avg_ex_prophet,1.4863058695890894,1.9542209249655371,54.55163318124977,49.14490916749993,30
daily,1 month,ProphetX,1.4863058695890894,1.9542209249655371,54.55163318124977,49.14490916749993,30
daily,1 month,prophet,1.496300374113577,1.9264719279533529,54.63331600865703,49.47537884206692,30
daily,1 month,Avg_MIDAS,1.6809089855755694,2.0871225383248126,58.94747491391367,55.5794881155815,30
daily,1 month,MIDAS_all,1.6809089855755694,2.0871225383248126,58.94747491391367,55.5794881155815,30
daily,1 month,MIDAS_daily,1.8875263979446129,2.246775855253846,61.89752657388286,62.41132143539996,30
monthly,1 year,Avg_ex_prophet,19.77678943510864,30.228402547629965,15.707634117405036,19.125872249548983,12
monthly,1 year,Avg_MIDAS,20.96509049923036,27.493186839019863,22.46309824450524,20.27506253753621,12
monthly,1 year,MIDAS_monthly,21.35864565146984,28.45470647546936,22.527389168567705,20.65566453512444,12
monthly,1 year,MIDAS_all,21.584909468489613,24.674317147697813,24.081890907550363,20.87448128863313,12
monthly,1 year,prophet,23.864678369736566,32.71478021064761,21.8651899138054,23.079215727800428,12
monthly,1 year,ProphetX,27.054475242873465,38.58022665131392,22.64237978315529,26.164026217278742,12
